id,name,botanical_name,category,category_name,price_kes,rating,review_count,tag,herbs,target_symptoms_illnesses,rituals,description,benefits,ingredients,ritual_guide,in_stock,image
lavender-cedar-pillow-sachet,Sacred Sleep Lavender & Atlas Cedar Pillow Sachet,Lavandula angustifolia & Cedrus atlantica,mind-sleep,"Mind, Stress & Sleep Wellness",950,4.8,47,Aromatic Wellness,french lavender; atlas cedar shavings; hops flowers; mugwort,restless tossing; nighttime racing thoughts; insomnia; bad dreams; bedroom sensory stress,bedtime sacred pillow tuck; sweet dreams ceremony; nightly aromatherapeutic grounding,"Breathable natural linen pouch packed with whole French lavender buds, fragrant Atlas cedarwood shavings, and wild hops. Tucked inside your pillowcase, its natural plant vapors lull your mind into gentle delta waves.","Passively diffuses relaxing linalool terpenes as you turn your head at night; Protects the sacred dream space and dispels stale bedroom energies; 100% natural, long-lasting aroma lasting up to 6 months (gently squeeze to refresh)",Dried Lavandula Angustifolia Buds; Atlas Cedar Wood Shavings; Dried Hops Cones; 100% Unbleached Cotton Linen Sachet,Gently squeeze the sachet between your hands to crush the botanicals and release fresh terpenes. Slip beneath your pillow or beside your headboard before sleeping.,Yes,assets/images/calming-bedtime.jpg
sacred-relaxation-room-spray,Sacred Lavender & Frankincense Relaxation Room Spray,Lavandula & Boswellia carterii,mind-sleep,"Mind, Stress & Sleep Wellness",1350,4.9,68,Ambient Fragrance,lavender; frankincense; bergamot; witch hazel; distilled spring water,hectic work space; bedroom restlessness; lingering room odors; sensory fatigue; scattered energy,bedroom sacred misting; meditation sanctuary prep; linens freshening ritual,"A botanical ambient mist blending high-altitude French lavender, sacred Somali frankincense tears, and sun-kissed Italian bergamot in pure volcanic spring water and alcohol-free witch hazel.","Instantly shifts room atmosphere into a peaceful botanical sanctuary; Soothes sensory overload and prepares living space for relaxation or sleep; Safe to mist on bed linens, curtains, yoga mats, and around your personal aura",Spring Water; Organic Witch Hazel Extract; Lavandula Angustifolia Essential Oil; Wildcrafted Frankincense Resin Oil; Bergamot FCF (Non-Phototoxic) Essential Oil,"Shake gently and spritz 3-4 pumps upward into the center of your bedroom, prayer space, or onto bedsheets 15 minutes before retiring.",Yes,assets/images/calming-bedtime.jpg
cooling-muscle-menthol-gel,Arctic Recovery Botanical Cooling Muscle Gel,"Mentha arvensis, Aloe & Eucalyptus",energy-muscle,"Energy, Fitness & Muscle",1600,4.9,89,High-Priority Launch,natural menthol; aloe vera; eucalyptus; camphor bark; witch hazel,acute muscle strains; burning inflammation; swollen ankles; heavy tired legs; post-HIIT soreness; shin splints,post-workout cool down; heavy leg revival massage; cryo-botanical compress,"An instant-acting botanical cryo-gel that delivers an icy thermal sensation to rapidly calm inflammation, extinguish burning post-exercise heat, and relieve swollen, overworked athletic joints.",Natural plant menthol crystals trigger cold-receptors (TRPM8) for instant analgesic relief; Aloe vera base delivers deep cooling moisture without sticky residue; Eucalyptus and witch hazel ease localized swelling and promote rapid tissue recovery,Organic Aloe Leaf Juice; Natural Menthol Crystals; Witch Hazel Distillate; Eucalyptus Globulus Essential Oil; Spearmint Oil; Vegetable Glycerin,"Smooth generously over sore quads, calves, or shoulders immediately following high-intensity training. Wash hands after applying.",Yes,assets/images/muscle-balm.jpg
wild-plant-protein-blend,Baobab & Moringa Plant Protein Superfood Blend,"Moringa, Adansonia & Pisum sativum",energy-muscle,"Energy, Fitness & Muscle",2200,4.8,73,High-Priority Launch,moringa; baobab; sprouted pea protein; brown rice protein; chia seed; vanilla bean,muscle recovery lag; athletic fatigue; plant-based protein deficiency; poor workout endurance; post-exercise hunger,post-training shaker ritual; morning power smoothie; daily strength building,"A complete multi-source vegan protein powder combining sprouted yellow pea, golden rice protein, wild Kenyan moringa greens, and prebiotic baobab fruit. Provides 22g of clean, bioavailable protein per serving with zero bloating.","Delivers all 9 essential amino acids plus natural BCAAs for muscle protein synthesis; Prebiotic baobab eliminates the digestive heaviness common in dairy whey proteins; Moringa replenishes depleted electrolytes, zinc, and iron post-exertion",Sprouted Pea Protein Isolate; Organic Sprouted Brown Rice Protein; Wildcrafted Kenyan Moringa Powder; Raw Baobab Fruit Powder; Organic Ground Vanilla Pods,"Shake 2 level scoops with 350ml of plant milk or water within 45 minutes of training, or blend with frozen bananas for a sacred recovery bowl.",Yes,assets/images/moringa-baobab.jpg
sweet-fennel-digestive-comfort,Sweet Crushed Fennel & Caraway Digestive Comfort Tisane,Foeniculum vulgare & Carum carvi,gut-digestive,Gut & Digestive Wellness,1200,4.8,51,Digestive Comfort,sweet fennel; caraway seed; aniseed; coriander; peppermint,bloating after dairy/beans; trapped intestinal gas; stomach cramps; heavy digestion; sour stomach,post-dinner digestive ceremony; colic comfort sip; belly soothing ritual,"A sweet, aromatic Mediterranean & African seeds formulation that relaxes smooth muscles of the digestive tract, expels trapped intestinal air, and gently encourages digestive enzyme secretion.",Volatile anethole oils act as a gentle carminative to defuse abdominal bloating; Relaxes intestinal spasms and soothes crampy feelings after rich meals; Naturally sweet aniseed flavor requires no honey or added sugars,Organic Sweet Fennel Seeds; Wild Caraway Seeds; Whole Green Aniseed; Crushed Coriander Seeds,Crush 1 tablespoon of seeds lightly with the back of a spoon to release essential oils. Steep in boiling water for 8 minutes covered.,Yes,assets/images/hibiscus-tea.jpg
prebiotic-baobab-high-fibre-blend,Prebiotic Baobab High-Fibre Gut Balance Mix,Adansonia digitata & Plantago ovata,gut-digestive,Gut & Digestive Wellness,1750,4.9,88,Bestseller,baobab fruit; psyllium husk; flaxseed; chia seed; inulin,constipation; irregular bowel movements; gut dysbiosis; cholesterol balance; sugar spikes; leaky gut,morning fiber awakening; gut motility drink; daily elimination ritual,Combines the natural soluble prebiotic pectin of ancient Kenyan baobab trees with organic golden psyllium husks and cold-milled flaxseeds. Nourishes bifidobacteria and promotes effortless daily digestive regularity.,Provides 8 grams of gentle soluble and insoluble dietary fiber per tablespoon; Forms a soothing gel that sweeps the intestinal wall without harsh cramping; Prebiotics feed short-chain fatty acid (SCFA) production for strong gut barrier health,Wild-Harvested Kenyan Baobab Fruit Powder; Organic Whole Psyllium Husk; Cold-Milled Golden Flaxseeds; Jerusalem Artichoke Inulin,Stir 1 level tablespoon vigorously into 250ml of cold water or fresh fruit juice. Drink immediately followed by a second glass of pure spring water.,Yes,assets/images/moringa-baobab.jpg
african-black-soap-artisan-bar,Raw African Black Soap & Nilotica Shea Cleansing Bar,"Theobroma cacao, Elaeis guineensis & Vitellaria",skin-body,Skin & Body Confidence,950,5,164,High-Priority Launch,plantain skin ash; cocoa pod ash; nilotica shea butter; palm kernel oil; tea tree oil,body acne; bacne; eczema patches; dark spots; congested pores; oily skin; fungal skin irritations,sacred body cleansing ritual; evening purification bath; skin clarifying lather,"Handcrafted according to ancestral West and East African recipes using roasted plantain skin ash, cocoa pod ash, and generous cold-whipped Nilotica shea butter. Purifies pores deeply without stripping skin moisture.",Natural plant ash provides gentle enzymatic exfoliation and clears breakout-causing bacteria; Rich in natural Vitamins A and E to fade blemishes and dark marks; Produces a luxurious rich therapeutic lather that leaves skin velvety soft,Roasted Plantain Skin Ash; Cocoa Pod Ash; Raw East African Nilotica Shea Butter; Virgin Coconut Oil; Wild Tea Tree Essential Oil,"Work bar into a creamy lather in hands or on a natural loofah. Wash body in circular motions, allowing lather to sit on skin for 60 seconds before rinsing.",Yes,assets/images/shea-cream.jpg
baobab-coffee-revitalizing-scrub,Kenyan Coffee & Baobab Radiance Exfoliating Body Scrub,Coffea arabica & Adansonia digitata,skin-body,Skin & Body Confidence,1550,4.9,78,Exfoliation,kenyan arabica coffee; baobab oil; shea butter; brown sugar; sweet orange,cellulite appearance; keratosis pilaris (strawberry skin); rough skin texture; ingrown hairs; dull body tone,weekly body polishing rite; shower lymphatic exfoliation; weekend glow ritual,"Freshly roasted, finely ground Kenyan Arabica highland coffee blended with unrefined brown sugar crystals, cold-pressed baobab oil, and wild sweet orange. Sloughs away dead skin cells and stimulates microcirculation.","Topical caffeine stimulates lymphatic drainage and temporarily tightens skin texture; Baobab seed oil infuses fatty acids deep into dermal layers during exfoliation; Leaves skin silky smooth, deeply moisturized, and lightly scented of mocha and citrus",Fresh Ground Kenyan Arabica Coffee Beans; Demerara Cane Sugar; Wild Baobab Seed Oil; Unrefined Nilotica Shea Butter; Sweet Orange Peel Oil,"Massage in vigorous circular motions onto damp skin in the shower, paying special attention to hips, thighs, and elbows. Rinse thoroughly with warm water.",Yes,assets/images/shea-cream.jpg
herbal-hair-conditioning-oil,Wild Botanicals Hair Conditioning & Shine Oil,"Argania spinosa, Simmondsia & Amla",hair-grooming,Hair & Grooming,1750,4.9,112,High-Priority Launch,argan oil; jojoba oil; amla fruit (indian gooseberry); marula oil; sweet almond; jasmine flower,dry frizzy hair; split ends; heat damage; bleached/dyed brittle strands; lack of shine,post-wash hair glossing; hot oil deep conditioning rite; daily strand protection,"A lightweight, silicone-free botanical hair nectar combining cold-pressed Moroccan argan, Kenyan wild marula, and ayurvedic amla fruit. Seals moisture into the hair cuticle and imparts luminous, glassy shine.",Protects hair cuticles from heat styling and harsh sun UV oxidation; Instantly tames unruly flyaways and frizz without weighing down fine curls; Restores elasticity to prevent snapping and split ends,Virgin Argan Kernel Oil; Wild Harvested Kenyan Marula Oil; Amla Fruit Infused Jojoba Oil; Sweet Almond Oil; Night-Blooming Jasmine Extract,"Warm 3-4 drops between palms. Smooth through mid-lengths to ends of damp or dry hair. For deep treatment, saturate strands, wrap with warm towel for 30 minutes, then rinse.",Yes,assets/images/rosemary-oil.jpg
rosemary-mint-clarifying-shampoo,Rosemary & Peppermint Invigorating Herbal Shampoo,Rosmarinus officinalis & Mentha piperita,hair-grooming,Hair & Grooming,1650,4.8,66,Sulfate-Free,rosemary; peppermint; aloe vera; nettle leaf; tea tree oil,product buildup; greasy scalp; dandruff flakes; follicle clogging; itchy scalp; limp hair,invigorating wash day rite; scalp detox clarifying cleanse; hair growth wash,"Sulfate-free, pH-balanced botanical shampoo infused with steam-distilled rosemary, tingly peppermint, and organic stinging nettle. Deeply cleanses excess sebum and styling buildup while energizing hair roots.",Cleanses thoroughly without stripping the scalp's natural lipid protective barrier; Rosemary and menthol invigorate follicular microcirculation for accelerated growth; Stinging nettle minerals fortify keratin structure and add bouncy natural volume,Decyl Glucoside (Plant-Based Cleanser); Organic Aloe Vera Juice; Rosemary Hydrosol; Peppermint Oil; Nettle Extract; Pro-Vitamin B5 (Panthenol),Apply to wet hair. Massage into scalp using firm circular pads of fingers for 2 minutes to stimulate blood flow. Rinse with cool water.,Yes,assets/images/rosemary-oil.jpg
mens-vitality-nutrition-blend,Mukombero & Maca Root Men's Nutrition Powder Blend,Mondia whitei & Lepidium meyenii,mens-wellness,Men's Wellness & Intimate Confidence,2100,4.9,97,High-Priority Launch,mukombero (mondia whitei); black maca root; ashwagandha; tribulus; raw cacao; pumpkin seed zinc,midday masculine fatigue; low drive; slow athletic recovery; testosterone support; mental fog under stress,morning warrior smoothie; daily vigor tonic; athletic endurance shake,"An authentic East African masculine tonic powder uniting wildcrafted Mukombero (Mondia Whitei), Peruvian black maca, adaptogenic ashwagandha, and pumpkin seed zinc to nourish male hormonal endocrine vitality.","Supplies vital micronutrients (zinc, magnesium, plant sterols) for male stamina; Traditional Mukombero root supports healthy cardiovascular endurance and vitality; Adaptogens buffer the negative impact of work stress on testosterone levels",Wildcrafted Kenyan Mondia Whitei Root Powder; Gelatinized Black Maca Root; Organic Ashwagandha Root; Cold-Pressed Pumpkin Seed Powder; Raw Criollo Cacao,"Blend 1 rounded tablespoon into morning oatmeal, black coffee, or a banana smoothie. Consume daily for cumulative botanical nourishment.",Yes,assets/images/men-vitality.jpg
gentle-botanical-external-wash,Gentle Chamomile & Rose Botanical External Wash,Matricaria chamomilla & Rosa damascena,womens-wellness,Women's Wellness & Intimate Care,1500,4.9,81,Gynecologically Tested,chamomile hydrosol; rose water; aloe vera; lactic acid (plant-based); calendula,external intimate discomfort; sweat chafing; odor concerns; sensitive skin irritation; post-workout hygiene,daily feminine shower rite; refreshing intimate cleanse; sacred body hygiene,"A mildly foaming, pH-balanced (pH 4.2) external botanical intimate wash. Formulated with soothing German chamomile hydrosol, pure Damask rose water, and organic aloe. Free from sulfates, harsh perfumes, and parabens.",Maintains the delicate acidic microbiome pH of external intimate skin; Calendula and chamomile soothe friction irritation and post-shaving sensitivity; Gentle enough for daily external use without drying delicate mucosal borders,Water; Organic Chamomile Flower Hydrosol; Rose Flower Water; Coco-Glucoside (Gentle Cleanser); Aloe Leaf Juice; Plant-Derived Lactic Acid,Lather a quarter-sized amount in hands with warm water. Gently cleanse external intimate vulvar areas only and rinse thoroughly.,Yes,assets/images/shea-cream.jpg
sacred-postpartum-comfort-kit,Sacred Motherhood Postpartum Comfort & Recovery Kit,"Calendula, Hamamelis & Rubus idaeus",womens-wellness,Women's Wellness & Intimate Care,3400,5,43,Sacred Craft,calendula; witch hazel; red raspberry leaf; shea butter; epsom salt; lavender,postpartum soreness; perineal swelling; post-birth cramping; nipple chafing; maternal exhaustion,sacred sitz bath ceremony; peri-soothing misting rite; maternal recovery tea ritual,"A compassionate, midwife-approved botanical recovery care package for the Fourth Trimester. Includes: (1) Herbal Perineal Sitz Bath Blend, (2) Soothing Witch Hazel & Calendula Mist, (3) Nipple Comfort Balm, and (4) Uterine Recovery Moon Tea.","Sitz bath herbs promote rapid soothing of perineal swelling and tenderness; Calendula mist provides instant, touch-free comfort after using the restroom; 100% natural, edible-grade nipple balm safe for nursing mothers; Raspberry leaf tea supports gentle uterine toning following childbirth","Herbal Sitz Blend (Epsom Salt, Calendula, Lavender, Comfrey); Cooling Perineal Mist (Witch Hazel, Aloe, Rosewater); Pure Lanolin-Free Shea & Calendula Nipple Balm; Postpartum Recovery Tea (Red Raspberry, Nettle, Oatstraw)",Steep sitz herbs in warm bath or peri bottle for soothing cleansing. Drink 1 cup of recovery tea daily while resting skin-to-skin with your newborn.,Yes,assets/images/shea-cream.jpg
